name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Karamuk Kuo Architects,https://www.karamukkuo.com,info@karamukkuo.com,,Switzerland,Zurich,Architecture,medium,https://ch.linkedin.com/company/karamuk-kuo-architects,,public;education;sports,,6,"Archinaut 2025 Top 100, medium band; founded 2010 by Ünal Karamuk and Jeannette Kuo, Badenerstrasse studio",Archinaut Rating 2025 Top 100 Swiss offices
Masswerk Architekten,https://www.masswerk.com,mail@masswerk.com,+41 41 311 19 19,Switzerland,Lucerne,Architecture,medium,,,housing;public;transformation,,6,"Archinaut 2025 Top 100, medium band; Lucerne head office with a Zurich branch since 2008",Archinaut Rating 2025 Top 100 Swiss offices
Hans Focketyn Architekten,https://hansfocketyn.com,Info@hansfocketyn.com,+41 78 724 53 02,Switzerland,Basel,Architecture,small,,,housing;transformation,,6,"Successor practice after Focketyn del Rio Studio (Archinaut 2025 Top 100) split into two offices; Erlenstrasse studio",Archinaut Rating 2025 Top 100 Swiss offices
MIDERI Architekten,https://www.mideri.ch,mideri@mideri.ch,+41 76 323 85 84,Switzerland,Basel,Architecture,solo,,,housing;transformation,,6,"Miquel del Río's new studio after the Focketyn del Rio split; Klybeckstrasse office 2.15",Archinaut Rating 2025 Top 100 Swiss offices
Truwant + Rodet +,https://truwantrodet.ch,info@truwantrodet.ch,+41 78 303 08 68,Switzerland,Basel,Architecture,small,https://ch.linkedin.com/company/truwant-rodet,,research;installation;housing,,6,"Archinaut 2025 Top 100, medium band; founded 2015 by Charlotte Truwant and Dries Rodet, Nonnenweg studio",Archinaut Rating 2025 Top 100 Swiss offices
Rapin Saiz Architectes,https://www.rapinsaiz.ch,info@rapinsaiz.ch,+41 21 925 95 35,Switzerland,Vevey,Architecture,small,,,housing;public;romandie,,6,"Archinaut 2025 Top 100, medium band; Vincent Rapin and Maria Saiz collaborating since 2003 - the list places them in Lausanne but the studio is in Vevey",Archinaut Rating 2025 Top 100 Swiss offices
Atelier SCHMIDT,https://www.atelierschmidt.ch,info@atelierschmidt.ch,+41 81 943 25 31,Switzerland,Trun,Architecture,small,,,straw-bale;ecological;autonomous,,7,"Archinaut 2025 Top 100, small band; founded 1998 by Werner Schmidt with 8 staff, specialising in load-bearing straw-bale construction and ecological building in Graubünden",Archinaut Rating 2025 Top 100 Swiss offices
Wespi de Meuron Romeo architetti,https://www.wdmra.ch,,,Switzerland,Caviano,Architecture,small,,,stone;minimal;ticino,,8,"Archinaut 2025 Top 100, small band; Ticino practice known for pared-back stone and concrete houses - the closest aesthetic match to Armila found in any country so far; site publishes no email",Archinaut Rating 2025 Top 100 Swiss offices
Valerio Olgiati,https://www.olgiati.net,,,Switzerland,Flims,Architecture,small,,,minimal;concrete;conceptual,,7,"Archinaut 2025 Top 100, small band; internationally published minimalist practice; no email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Gus Wüstemann architects,https://www.guswustemann.com,,,Switzerland,Zurich,Architecture,small,,,minimal;concrete;housing,,7,"Archinaut 2025 Top 100, small band; Zurich and Barcelona studios working in a stripped-back concrete idiom; no email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Davide Macullo Architects,https://www.macullo.com,,,Switzerland,Lugano,Architecture,small,,,residential;cultural;ticino,,6,"Archinaut 2025 Top 100, small band; Lugano practice working internationally; no email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Penzel Valier Architekten,https://penzelvalier.ch,,,Switzerland,Zurich,Architecture,small,,,architecture;engineering;infrastructure,,6,"Archinaut 2025 Top 100, small band; combined architecture and structural engineering practice; no email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Studio Burkhardt,https://studioburkhardt.ch,,,Switzerland,Zurich,Architecture,small,,,housing;transformation,,6,"Archinaut 2025 Top 100, medium band; no email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Christ & Gantenbein,https://www.christgantenbein.com,mail@christgantenbein.com,+41 61 260 90 20,Switzerland,Basel,Architecture,medium,,,museums;civic;material,,8,Spitalstrasse Basel practice behind the Kunstmuseum and Landesmuseum extensions - a very close style match.,Manual list - 2026-08-08
EM2N,https://www.em2n.ch,,+41 44 215 60 10,Switzerland,Zurich,Architecture,medium,,,adaptive-reuse;housing;culture,,7,"Binzstrasse Zurich practice of Mathias Mueller and Daniel Niggli, with Berlin and Belgium offices. The address on their site is masked, so none was written.",Manual list - 2026-08-08
Buchner Bruendler Architekten,https://bbarc.ch,mail@bbarc.ch,+41 61 306 30 00,Switzerland,Basel,Architecture,small,,,concrete;material;restrained,,8,"Utengasse Basel practice - restrained, material-led work and one of the closest style matches in the Swiss set. The source sheet's bucherbruendler.ch is dead; bbarc.ch is the real domain.",Manual list - 2026-08-08
Miller & Maranta,https://www.millermaranta.ch,info@millermaranta.ch,+41 61 260 80 00,Switzerland,Basel,Architecture,small,,,contextual;civic;heritage,,8,Schuetzenmattstrasse Basel practice of Quintus Miller and Paola Maranta.,Manual list - 2026-08-08
Boltshauser Architekten,https://boltshauser.info,info@boltshauser.info,+41 43 311 19 49,Switzerland,Zurich,Architecture,medium,,,rammed-earth;craft;material,,8,"Dubsstrasse Zurich practice with a Munich office, known for rammed earth and craft; runs its own model workshop and publishes separate inboxes for it and for press.",Manual list - 2026-08-08
Herzog & de Meuron,https://www.herzogdemeuron.com,info@herzogdemeuron.com,+41 61 385 5757,Switzerland,Basel,Architecture,large,,,pritzker;cultural;material,,5,"Rheinschanze Basel practice, Pritzker Prize 2001. Large and heavily solicited, but not on the §4 skip list, so it is recorded with an honest size.",Manual list - 2026-08-08
Bearth & Deplazes Architekten,https://bearth-deplazes.ch,info@bearth-deplazes.ch,+41 81 354 93 00,Switzerland,Chur,Architecture,small,,,alpine;material;concrete,,8,"Wiesentalstrasse Chur practice of Valentin Bearth, Andrea Deplazes and Daniel Ladner - alpine, material-led work and a very close style match.",Manual list - 2026-08-08
Gigon Guyer,https://www.gigon-guyer.ch,info@gigon-guyer.ch,+41 44 257 11 11,Switzerland,Zurich,Architecture,medium,,,museums;material;precision,,8,"Carmenstrasse Zurich practice of Annette Gigon and Mike Guyer, both ETH professors.",Manual list - 2026-08-08
Meili Peter & Partner Architekten,https://www.meilipeterpartner.ch,,+41 44 246 70 20,Switzerland,Zurich,Architecture,medium,,,urban;civic;swiss,,6,Gartenhofstrasse Zurich practice founded 1987 by Marcel Meili and Markus Peter. No email published.,Manual list - 2026-08-08
Mario Botta Architetti,https://www.botta.ch,mba@botta.ch,+41 91 972 86 25,Switzerland,Mendrisio,Architecture,medium,,,cultural;religious;iconic,,4,"Via Beroldingen Mendrisio practice founded by Mario Botta, global cultural and religious buildings.",UAE and Kuwait import list - 2026-08-09
Müller Sigrist Architekten,https://www.muellersigrist.ch,info@muellersigrist.ch,+41 44 201 91 09,Switzerland,Zurich,Architecture,small,,,zurich;residential;institutional,,6,Weststrasse Zurich practice.,UAE and Kuwait import list - 2026-08-09
Lütjens Padmanabhan Architekten,https://www.luetjens-padmanabhan.ch,mail@luetjens-padmanabhan.ch,+41 44 450 80 10,Switzerland,Zurich,Architecture,small,,,zurich;residential;small-studio,,6,Grubenstrasse Zurich small studio.,UAE and Kuwait import list - 2026-08-09
Vogt Landschaftsarchitekten,https://www.vogt-la.com,mail@vogt-la.ch,+41 44 360 54 54,Switzerland,Zurich,Architecture,medium,,,landscape;urban;zurich,,5,"Stampfenbachstrasse Zurich landscape architecture practice, founded by Günther Vogt.",UAE and Kuwait import list - 2026-08-09
Studio Vulkan Landschaftsarchitektur,https://www.studiovulkan.ch,info@studiovulkan.ch,+41 43 336 60 70,Switzerland,Zurich,Architecture,medium,,,landscape;zurich,,5,Vulkanstrasse Zurich landscape architecture practice.,UAE and Kuwait import list - 2026-08-09
Felippi Wyssen Architekten,https://www.felippiwyssen.ch,,061 561 75 32,Switzerland,Basel,Architecture,small,,,basel;residential,,5,Wallstrasse Basel architecture practice; no plain-text email found published.,UAE and Kuwait import list - 2026-08-09
Lussi + Partner,https://www.lussipartner.ch,info@lussipartner.ch,+41 41 228 20 30,Switzerland,Lucerne,Architecture,medium,,,lucerne;institutional,,4,Neustadtstrasse Lucerne architecture practice.,UAE and Kuwait import list - 2026-08-09
BUREAU,https://bureau.ac,info@bureau.ac,+41 78 608 72 02,Switzerland,Geneva,Architecture,small,,,geneva;small-studio;founded-2017,,6,"Six-person Geneva practice founded 2017 by Daniel Zamarbide, Carine Pimenta and Galliane Zamarbide.",UAE and Kuwait import list - 2026-08-09
FdMP Architectes,https://fdmp.ch,info@fdmp.ch,+41 22 909 79 99,Switzerland,Geneva,Architecture,small,,,geneva;institutional,,5,Rue Chantepoulet Geneva architecture practice.,UAE and Kuwait import list - 2026-08-09
mlzd architekten,https://www.mlzd.ch,office@mlzd.ch,+41 32 323 04 72,Switzerland,Biel,Architecture,small,,,biel;cooperative-practice,,5,Alleestrasse Biel/Bienne cooperative architecture practice.,UAE and Kuwait import list - 2026-08-09
Bauart Architekten,https://bauart.ch,bern@bauart.ch,+41 31 3851515,Switzerland,Bern,Architecture,medium,,,bern;sustainability,,4,Laupenstrasse Bern architecture and planning practice.,UAE and Kuwait import list - 2026-08-09
Theo Hotz Partner Architekten,https://www.theohotz.ch,info@theohotz.ch,+41 44 422 47 33,Switzerland,Zurich,Architecture,medium,,,zurich;institutional,,3,Badenerstrasse Zurich architecture practice.,UAE and Kuwait import list - 2026-08-09
Scheitlin Syfrig Architekten,https://scheitlin-syfrig.ch,,,Switzerland,Lucerne,Architecture,medium,,,lucerne;generalplanung,,3,Brünigstrasse Lucerne architecture and general-planning practice; no plain-text email found published.,UAE and Kuwait import list - 2026-08-09
WALDRAP,https://www.waldrap.ch,info@waldrap.ch,,Switzerland,Zurich,Architecture,small,,,zurich;small-studio,,5,Bernerstrasse Nord Zurich small studio run by Renate Walter and Sebastian F. Lippok.,UAE and Kuwait import list - 2026-08-09
August + Margrith Künzel Landschaftsarchitekten,https://www.august-kuenzel.ch,info@august-kuenzel.ch,+41 61 335 90 20,Switzerland,Binningen,Architecture,medium,,,landscape;basel-binningen,,4,Schweissbergweg Binningen landscape architecture practice.,UAE and Kuwait import list - 2026-08-09
Burckhardt+Partner,https://www.burckhardt.com,info@burckhardt.com,061 338 34 34,Switzerland,Basel,Architecture,large,,,full-service;one-of-largest-swiss,,2,"Dornacherstrasse Basel practice, one of the largest Swiss architecture firms at roughly 350-450 staff.",UAE and Kuwait import list - 2026-08-09
Itten+Brechbühl,https://www.ittenbrechbuehl.ch,bern@ittenbrechbuehl.ch,+41 31 340 81 11,Switzerland,Bern,Architecture,large,,,healthcare;office;education,,2,Nordring Bern practice covering healthcare office and education projects.,UAE and Kuwait import list - 2026-08-09
Diener & Diener Architekten,https://www.dienerdiener.ch,buero.basel@dienerdiener.ch,+41 61 270 41 41,Switzerland,Basel,Architecture,medium,,,basel-berlin;novartis-campus,,4,Henric Petri-Strasse Basel practice known for the Novartis Campus buildings with a Berlin office too.,UAE and Kuwait import list - 2026-08-09
Santiago Calatrava,https://calatrava.com,website@calatrava.com,+41 44 204 50 11,Switzerland,Zurich,Architecture,large,,,iconic;engineering;global,,1,Parkring Zurich corporate office of the globally iconic architecture engineering practice; a mega-name unlikely to outsource.,UAE and Kuwait import list - 2026-08-09
KCAP Architects & Planners,https://www.kcap.eu,f.werner@kcap.eu,,Switzerland,Zurich,Architecture,medium,,,urban-planning;dutch-roots,,3,Zurich branch office of the Rotterdam-founded urban planning practice; named contact.,UAE and Kuwait import list - 2026-08-09
Gruner,https://www.gruner.ch,basel@gruner.ch,+41 61 317 61 61,Switzerland,Basel,Construction,large,,,engineering;multi-discipline,,1,St. Jakobs-Strasse Basel multi-discipline engineering practice.,UAE and Kuwait import list - 2026-08-09
CSD Ingenieure,https://www.csd.ch,fribourg@csd.ch,+41 26 460 74 74,Switzerland,Fribourg,Construction,medium,,,engineering;fribourg-area,,1,Route Jo Siffert Fribourg-area engineering practice.,UAE and Kuwait import list - 2026-08-09
Helbling Group,https://helbling.ch,info-holding@helbling.ch,+41 44 438 17 11,Switzerland,Zurich,Construction,medium,,,engineering;business-consulting,,1,Hohlstrasse Zurich HQ of Switzerland's largest independent engineering and business consulting firm with 570 staff across CH DE US and China.,UAE and Kuwait import list - 2026-08-09
Balliana Schubert Landschaftsarchitekten,https://www.balliana-schubert.ch,info@balliana-schubert.ch,+41 44 480 13 50,Switzerland,Zurich,Architecture,medium,,,"landscape;public-space",,5,"Archinaut 2025 Top 100 Mittel band (10-50 staff); Binzstrasse Zurich landscape architecture practice",Archinaut Rating 2025 Top 100 Swiss offices
Knapkiewicz & Fickert Architekten,https://www.axka.ch,info@axka.ch,+41 44 240 05 45,Switzerland,Zurich,Architecture,medium,,,"housing;urban",,6,"Archinaut 2025 Top 100 Mittel band; Zweierstrasse Zurich practice of Alfredo Knapkiewicz and Axel Fickert",Archinaut Rating 2025 Top 100 Swiss offices
Christian Kerez Architekten,https://www.kerez.ch,mail@kerez.ch,+41 44 454 40 70,Switzerland,Zurich,Architecture,small,,,"minimal;concrete;conceptual",,7,"Archinaut 2025 Top 100 Mittel band; internationally published minimalist practice on Eibenstrasse",Archinaut Rating 2025 Top 100 Swiss offices
HHF Architects,https://www.hhf.ch,,+41 61 756 70 10,Switzerland,Basel,Architecture,medium,,,"culture;housing;installation",,7,"Archinaut 2025 Top 100 Mittel band; Allschwilerstrasse Basel practice, no plain-text email surfaced only a contact form",Archinaut Rating 2025 Top 100 Swiss offices
Barão-Hutter Atelier,https://www.barao-hutter.com,info@barao-hutter.com,+41 79 950 81 86,Switzerland,St. Gallen,Architecture,small,,,"housing;transformation",,6,"Archinaut 2025 Top 100 Mittel band (listed as Barao+Hutter Zurich); studio has since relocated to St. Gallen",Archinaut Rating 2025 Top 100 Swiss offices
Harry Gugger Studio,https://www.hgugger.ch,mail@hgugger.ch,+41 61 225 55 85,Switzerland,Basel,Architecture,medium,,,"culture;public;research",,7,"Archinaut 2025 Top 100 Mittel band; Luftgässlein Basel studio led by former Herzog & de Meuron partner",Archinaut Rating 2025 Top 100 Swiss offices
10:8 Architekten,https://www.10zu8.ch,mail@10zu8.ch,+41 44 240 11 77,Switzerland,Zurich,Architecture,small,,,"housing;transformation",,6,"Archinaut 2025 Top 100 Mittel band; Scheffelstrasse Zurich studio",Archinaut Rating 2025 Top 100 Swiss offices
Staufer + Hasler Architekten,https://www.staufer-hasler.ch,info@staufer-hasler.ch,+41 52 723 08 08,Switzerland,Frauenfeld,Architecture,medium,,,"housing;cooperative;public",,6,"Archinaut 2025 Top 100 Mittel band; Industriestrasse Frauenfeld practice of Astrid Staufer and Thomas Hasler",Archinaut Rating 2025 Top 100 Swiss offices
FAZ Architectes,https://www.faz-architectes.net,mail@faz-architectes.net,+41 22 345 14 64,Switzerland,Geneva,Architecture,small,,,"romandie;residential",,5,"Archinaut 2025 Top 100 Mittel band; Rue du Jura Geneva practice of Veronique Favre and Tanya Zein",Archinaut Rating 2025 Top 100 Swiss offices
Scheidegger Keller Architekten,https://www.scheideggerkeller.ch,info@scheideggerkeller.ch,+41 44 271 16 53,Switzerland,Zurich,Architecture,small,,,"zurich;residential",,5,"Archinaut 2025 Top 100 Mittel band; Griesernweg Zurich studio",Archinaut Rating 2025 Top 100 Swiss offices
Morger Partner Architekten,https://www.morgerpartner.ch,info@morgerpartner.ch,+41 61 377 77 10,Switzerland,Basel,Architecture,medium,,,"basel;institutional;housing",,5,"Archinaut 2025 Top 100 Mittel band; Spitalstrasse Basel practice",Archinaut Rating 2025 Top 100 Swiss offices
Manuel Herz Architects,https://www.manuelherz.com,,+41 61 261 51 45,Switzerland,Basel,Architecture,small,,,"synagogue;housing;research",,6,"Archinaut 2025 Top 100 Mittel band; Hebelstrasse Basel practice, no plain-text email published",Archinaut Rating 2025 Top 100 Swiss offices
KilgaPopp Architekten,https://www.kilgapopp.ch,,+41 52 203 50 55,Switzerland,Winterthur,Architecture,small,,,"winterthur;institutional",,5,"Archinaut 2025 Top 100 Mittel band; Lagerplatz Winterthur practice led by Monika Kilga and Stephan Popp, email obfuscated on site",Archinaut Rating 2025 Top 100 Swiss offices
Holzer Kobler Architekturen,https://www.holzerkobler.com,mail@holzerkobler.com,+41 44 240 52 00,Switzerland,Zurich,Architecture,medium,,,"museums;interior;installation",,6,"Archinaut 2025 Top 100 Mittel band; Ankerstrasse Zurich practice with a strong museum/exhibition-design portfolio",Archinaut Rating 2025 Top 100 Swiss offices
Neff Neumann Architekten,https://www.neffneumann.ch,mail@neffneumann.ch,+41 44 248 36 00,Switzerland,Zurich,Architecture,small,,,"housing;schools;public",,5,"Archinaut 2025 Top 100 Mittel band; Kernstrasse Zurich practice founded 1997",Archinaut Rating 2025 Top 100 Swiss offices
Stereo Architektur,https://www.stereo-architektur.ch,info@stereo-architektur.ch,+41 44 585 20 20,Switzerland,Zurich,Architecture,small,,,"housing;transformation",,6,"Archinaut 2025 Top 100 Mittel band; Buckhauserstrasse Zurich studio founded 2014",Archinaut Rating 2025 Top 100 Swiss offices
Enzmann Fischer Partner,https://www.enzmannfischer.ch,mail@enzmannfischer.ch,+41 44 455 77 77,Switzerland,Zurich,Architecture,medium,,,"housing;public",,5,"Archinaut 2025 Top 100 Mittel band; Seebahnstrasse Zurich practice",Archinaut Rating 2025 Top 100 Swiss offices
Patrick Thurston Architekten,https://www.thurston.ch,,+41 31 318 20 30,Switzerland,Bern,Architecture,small,,,"bern;timber;housing",,6,"Archinaut 2025 Top 100 Klein band (under 10 staff); Moserstrasse Bern practice, no plain-text email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
raderschallpartner,https://www.raderschall.ch,,+41 44 925 55 00,Switzerland,Meilen,Architecture,small,,,"landscape;urban",,4,"Archinaut 2025 Top 100 Klein band; Bruechstrasse Meilen landscape architecture practice, no plain-text email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Urs Padrun Architektur,https://www.urspadrun.ch,,,Switzerland,Guarda,Architecture,solo,,,"alpine;craft;engadin",,7,"Archinaut 2025 Top 100 Klein band; Peter Zumthor-trained solo practice in Guarda with 3 staff, no plain-text email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Steib Gmür Geschwentner Kyburz,https://www.sggk-arch.ch,info@sggk-arch.ch,+41 44 253 74 74,Switzerland,Zurich,Architecture,medium,,,"zurich;urban-planning",,4,"Archinaut 2025 Top 100 Klein band; Flüelastrasse Zurich merged practice of three former offices",Archinaut Rating 2025 Top 100 Swiss offices
group8,https://www.group8.ch,info@group8.ch,+41 22 560 88 88,Switzerland,Geneva,Architecture,medium,,,"urbanism;housing;romandie",,5,"Archinaut 2025 Top 100 Klein band; Carouge/Geneva practice founded 2000, active in architecture and urbanism",Archinaut Rating 2025 Top 100 Swiss offices
STOCKER LEE Architetti,https://www.stocker-lee.ch,info@stocker-lee.ch,+41 91 646 06 39,Switzerland,Rancate,Architecture,small,,,"ticino;residential;minimal",,7,"Archinaut 2025 Top 100 Klein band; Via Molino Nuovo Rancate practice in Ticino",Archinaut Rating 2025 Top 100 Swiss offices
Pablo Horváth Architekt,https://www.pablohorvath.ch,,+41 81 253 38 31,Switzerland,Chur,Architecture,small,,,"graubunden;residential",,5,"Archinaut 2025 Top 100 Klein band; Süsswinkelgasse Chur practice, email obfuscated on site",Archinaut Rating 2025 Top 100 Swiss offices
Adrian Streich Architekten,https://www.adrianstreich.ch,info@adrianstreich.ch,+41 44 364 06 46,Switzerland,Zurich,Architecture,small,,,"zurich;housing",,5,"Archinaut 2025 Top 100 Klein band; Freyastrasse Zurich practice founded 2003",Archinaut Rating 2025 Top 100 Swiss offices
Beck Oser Architekten,https://www.beck-oser.ch,mail@beck-oser.ch,+41 61 333 13 15,Switzerland,Basel,Architecture,small,,,"basel;residential",,5,"Archinaut 2025 Top 100 Klein band; Laufenstrasse Basel practice founded 2001",Archinaut Rating 2025 Top 100 Swiss offices
ern+heinzl Architekten,https://www.ernheinzl.com,,+41 32 622 30 60,Switzerland,Solothurn,Architecture,small,,,"multi-city;housing;public",,4,"Archinaut 2025 Top 100 Klein band; Friedhofplatz Solothurn HQ with branch offices across Biel Bern Basel Zurich Olten Aarau, no plain-text email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Lacroix Chessex Architectes,https://www.lacroixchessex.ch,,+41 22 300 54 07,Switzerland,Geneva,Architecture,small,,,"romandie;public",,5,"Archinaut 2025 Top 100 Klein band; Rue des Cordiers Geneva practice, email obfuscated on site",Archinaut Rating 2025 Top 100 Swiss offices
raumfindung architekten,https://www.raumfindung.ch,info@raumfindung.ch,+41 55 222 80 00,Switzerland,Rapperswil,Architecture,medium,,,"housing;public",,4,"Archinaut 2025 Top 100 Klein band; Neue Jonastrasse Rapperswil practice founded 2008 with roughly 25 staff",Archinaut Rating 2025 Top 100 Swiss offices
Atelier Summermatter Ritz,https://www.summermatterritz.ch,summermatter@summermatterritz.ch,,Switzerland,Brig,Architecture,small,,,"valais;alpine;residential",,6,"Archinaut 2025 Top 100 Klein band; Furkastrasse Brig practice",Archinaut Rating 2025 Top 100 Swiss offices
Elmiger Tschuppert Architekten,https://www.tschuppert-architekten.ch,atelier@tschuppert-architekten.ch,+41 41 360 45 06,Switzerland,Lucerne,Architecture,small,,,"lucerne;residential",,5,"Archinaut 2025 Top 100 Klein band; Bodenhof-Terrasse Luzern practice",Archinaut Rating 2025 Top 100 Swiss offices
GWJ Architekten,https://www.gwj.ch,info@gwj.ch,+41 31 340 82 22,Switzerland,Bern,Architecture,medium,,,"bern;urban-planning;sustainability",,4,"Archinaut 2025 Top 100 Klein band; Nordring Bern practice with a Zurich branch",Archinaut Rating 2025 Top 100 Swiss offices
Aviolat Chaperon Escobar Architectes,https://www.aviolatchaperonescobar.ch,info@aviolatchaperonescobar.ch,+41 26 534 22 97,Switzerland,Fribourg,Architecture,small,,,"housing;romandie",,5,"Archinaut 2025 Top 100 Klein band; Boulevard de Pérolles Fribourg practice with a Neuchâtel branch",Archinaut Rating 2025 Top 100 Swiss offices
Conzett Bronzini Partner,https://cbp.ch,info@cbp.ch,+41 81 258 30 00,Switzerland,Chur,Construction,small,,,"engineering;infrastructure",,3,"Archinaut 2025 Top 100 Klein band listed as Conzett Bronzini Gartmann; the original office split in 2015, this is the Chur successor Conzett Bronzini Partner",Archinaut Rating 2025 Top 100 Swiss offices
Durisch + Nolli Architetti,https://durischnolli.ch,,,Switzerland,Massagno,Architecture,small,,,"ticino;public;museums",,6,"Archinaut 2025 Top 100 Klein band; Via San Gottardo Massagno practice in Ticino, no plain-text email surfaced",Archinaut Rating 2025 Top 100 Swiss offices
Sujets et Objets d'Architecture,https://sujets-objets.ch,office@sujets-objets.ch,+41 22 313 62 83,Switzerland,Geneva,Architecture,small,,,"culture;transformation;small-studio",,6,"Four-partner Geneva studio (Kuenzle/Dayer/Retzepi/Donzé/Buchs) known for cultural transformation projects such as the HEAD-Genève vertical extension",WebSearch Swiss architecture practice search
Allen + Crippa,https://allencrippa.com,hallo@allencrippa.com,,Switzerland,Zurich,Architecture,small,,,"timber;rammed-earth;alpine",,7,"Two-founder practice (Ronan Crippa, Timothy Allen, both ETH-trained) with offices in Buchs and Zurich, known for a 350-year-old timber house relocation and rammed-earth annexe",WebSearch Swiss architecture practice search
Malte Kloes Architekten,https://www.maltekloes.ch,mail@maltekloes.ch,+41 44 545 29 29,Switzerland,Zurich,Architecture,small,,,"residential;small-studio",,5,"Grubenstrasse Zurich studio founded 2019",WebSearch Swiss architecture practice search
